Longitude,Latitude,Elevation (m),Altitude (m),Clutter height (m),Distance (m),PathLoss(db),PathLoss_binned
0.909202463354859,0.8042275979161104,0.20000000000000018,0.5714285714285712,1.0,0.061892130857648095,148,4.0
0.9092178758878617,0.8032670858593747,0.20000000000000018,0.5714285714285712,1.0,0.061892130857648095,148,4.0
0.9105452262775771,0.8013574824358329,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,149,4.0
0.9105606388105798,0.8003969703790972,0.20000000000000018,0.5714285714285712,1.0,0.06012378426171529,146,2.0
0.9105760513436394,0.7994364583223614,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,146,2.0
0.9105914638766421,0.798475946265512,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,144,1.0
0.9106222889426476,0.7965550288873828,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,144,1.0
0.9106531140086531,0.7946340047737976,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,147,3.0
0.9106685265416559,0.7936734927170619,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,147,3.0
0.9106993516076614,0.7917524686034767,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,151,5.0
0.9107147641406641,0.790791956546741,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,156,6.0
0.9107454451643093,0.7888710391686118,0.20000000000000018,0.5714285714285712,1.0,0.061892130857648095,156,6.0
0.9107608576973689,0.7879105271117623,0.20000000000000018,0.5714285714285712,1.0,0.061892130857648095,150,5.0
0.9120882080870842,0.7860009236883343,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,150,5.0
0.912103620620087,0.7850404116314849,0.20000000000000018,0.5714285714285712,1.0,0.06100795755968169,155,6.0
0.9121344456860925,0.7831193875180134,0.20000000000000018,0.5714285714285712,1.0,0.061892130857648095,155,6.0
0.9121498582190952,0.78215898219662,0.20000000000000018,0.5714285714285712,1.0,0.061892130857648095,151,5.0
0.9121806832851007,0.7802379580830348,0.20000000000000018,0.5714285714285712,1.0,0.0627763041556145,151,5.0
0.9135078896323989,0.7783283546596067,0.20000000000000018,0.5714285714285712,1.0,0.061892130857648095,152,5.0
0.9135233021654017,0.777367842602871,0.20000000000000018,0.5714285714285712,1.0,0.0627763041556145,153,6.0
0.9135541272314072,0.7754469252246281,0.20000000000000018,0.5714285714285712,1.0,0.0627763041556145,153,6.0
0.9135695397644668,0.7744864131678924,0.20000000000000018,0.5714285714285712,1.0,0.0636604774535809,153,6.0
0.9136003648305291,0.7725653890543072,0.20000000000000018,0.5714285714285712,1.0,0.06454465075154729,153,6.0
0.9136157773635318,0.7716048769975714,0.20000000000000018,0.5714285714285712,1.0,0.06454465075154729,154,6.0
0.91494298371083,0.7696952735740297,0.20000000000000018,0.5714285714285712,1.0,0.06454465075154729,154,6.0
0.9149583962438328,0.7687347615172939,0.20000000000000018,0.5714285714285712,1.0,0.06454465075154729,153,6.0
0.9149738087768355,0.7677743561960142,0.20000000000000018,0.5714285714285712,1.0,0.0654288240495137,153,6.0
0.9149892213098383,0.7668138441391648,0.20000000000000018,0.5714285714285712,1.0,0.0654288240495137,153,6.0
0.915004633842841,0.765853332082429,0.20000000000000018,0.5714285714285712,1.0,0.0663129973474801,150,5.0
0.9150354589088465,0.7639323079688438,0.20000000000000018,0.5714285714285712,1.0,0.0671971706454465,150,5.0
0.9150508714418493,0.7629717959119944,0.20000000000000018,0.5714285714285712,1.0,0.0671971706454465,153,6.0
0.9150816965079116,0.7610507717985229,0.20000000000000018,0.5714285714285712,1.0,0.0680813439434129,153,6.0
0.9163780777892043,0.7610621924885663,0.20000000000000018,0.5714285714285712,1.0,0.0671971706454465,153,6.0
0.9163934903222071,0.7601017871671729,0.20000000000000018,0.5714285714285712,1.0,0.0680813439434129,153,6.0
0.9164243153882126,0.7581807630537014,0.20000000000000018,0.5714285714285712,1.0,0.06896551724137931,153,6.0
0.9164397279212153,0.757220250996852,0.20000000000000018,0.5714285714285712,1.0,0.06984969053934571,149,4.0
0.9164705529872776,0.7552992268832668,0.20000000000000018,0.5714285714285712,1.0,0.0707338638373121,149,4.0
0.9165167905862859,0.7524177974484019,0.20000000000000018,0.5714285714285712,1.0,0.07250221043324491,147,3.0
0.9165322031192886,0.7514572853915524,0.20000000000000018,0.5714285714285712,1.0,0.07250221043324491,149,4.0
0.9178594094666437,0.7495476819681244,0.3000000000000007,0.5714285714285712,1.0,0.07338638373121131,149,4.0
0.9178748219996464,0.7485871699113886,0.3000000000000007,0.5714285714285712,1.0,0.07338638373121131,145,2.0
0.9179056470656519,0.7466661457978034,0.3000000000000007,0.5714285714285712,1.0,0.07515473032714412,145,2.0
0.9179518846646602,0.7437847163629385,0.3000000000000007,0.5714285714285712,1.0,0.07692307692307691,150,5.0
0.9179672971976629,0.7428242043060891,0.3000000000000007,0.5714285714285712,1.0,0.07692307692307691,144,1.0
0.9192945035449611,0.740914600882661,0.3000000000000007,0.5714285714285712,1.0,0.07780725022104332,144,1.0
0.9193099160780775,0.7399540888258116,0.3000000000000007,0.5714285714285712,1.0,0.07869142351900972,147,3.0
0.919340741144083,0.7380331714477961,0.3000000000000007,0.5714285714285712,1.0,0.07957559681697612,147,3.0
0.9193715662100885,0.7361121473340972,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08045977011494253,144,1.0
0.9193869787430913,0.7351516352773615,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08134394341290892,144,1.0
0.919402391276094,0.7341911232206257,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08222811671087532,143,1.0
0.9207297416657525,0.7322815197971977,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08311229000884172,143,1.0
0.920745010156395,0.7313210077403483,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08399646330680813,147,3.0
0.9207758352224005,0.7294000903621054,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08488063660477453,147,3.0
0.9207912477554032,0.7284395783054833,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08576480990274093,148,4.0
0.9208066602884628,0.7274790662486339,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08664898320070734,148,4.0
0.9208220728214656,0.7265185541917845,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08664898320070734,148,4.0
0.9208374853545251,0.7255580421350487,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08753315649867373,147,3.0
0.9221648357441836,0.7236484387116207,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08841732979664013,147,3.0
0.9221802482771864,0.7226880333902272,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.08930150309460654,151,5.0
0.9222109293008316,0.7207670092766421,0.3000000000000007,0.5714285714285712,0.16666666666666669,0.09106984969053934,151,5.0
